id,product_id,fact_type,fact_info
26,713,id,"[{""calories"":368,""protein"":355,""fat"":29,""fiber"":321,""carbs"":187},{""calories"":55,""protein"":222,""fat"":259,""fiber"":385,""carbs"":21},{""calories"":289,""protein"":329,""fat"":160,""fiber"":71,""carbs"":361}]"
27,725,sollicitudin,"[{""calories"":334,""protein"":216,""fat"":316,""fiber"":7,""carbs"":161},{""calories"":117,""protein"":320,""fat"":129,""fiber"":297,""carbs"":241},{""calories"":257,""protein"":202,""fat"":121,""fiber"":169,""carbs"":98}]"
28,184,at,[]
29,99,proin,"[{""calories"":400,""protein"":282,""fat"":325,""fiber"":352,""carbs"":104},{""calories"":354,""protein"":332,""fat"":261,""fiber"":13,""carbs"":275},{""calories"":31,""protein"":289,""fat"":15,""fiber"":333,""carbs"":262},{""calories"":154,""protein"":380,""fat"":118,""fiber"":373,""carbs"":315},{""calories"":191,""protein"":182,""fat"":124,""fiber"":158,""carbs"":7}]"
30,108,a,"[{""calories"":196,""protein"":35,""fat"":83,""fiber"":48,""carbs"":57},{""calories"":218,""protein"":39,""fat"":80,""fiber"":103,""carbs"":357}]"
31,693,nibh,"[{""calories"":360,""protein"":374,""fat"":117,""fiber"":233,""carbs"":374},{""calories"":215,""protein"":235,""fat"":372,""fiber"":191,""carbs"":219},{""calories"":91,""protein"":204,""fat"":389,""fiber"":216,""carbs"":198}]"
32,632,imperdiet,[]
33,547,vulputate,"[{""calories"":288,""protein"":126,""fat"":2,""fiber"":116,""carbs"":81},{""calories"":85,""protein"":216,""fat"":25,""fiber"":310,""carbs"":202},{""calories"":92,""protein"":87,""fat"":208,""fiber"":338,""carbs"":268},{""calories"":284,""protein"":197,""fat"":366,""fiber"":229,""carbs"":36},{""calories"":331,""protein"":387,""fat"":138,""fiber"":304,""carbs"":109}]"
34,323,lobortis,"[{""calories"":374,""protein"":316,""fat"":377,""fiber"":159,""carbs"":149},{""calories"":117,""protein"":349,""fat"":360,""fiber"":233,""carbs"":215},{""calories"":154,""protein"":223,""fat"":308,""fiber"":211,""carbs"":312},{""calories"":386,""protein"":383,""fat"":151,""fiber"":84,""carbs"":383}]"
35,396,lorem,[]
36,558,arcu,"[{""calories"":397,""protein"":132,""fat"":344,""fiber"":124,""carbs"":194},{""calories"":369,""protein"":298,""fat"":91,""fiber"":198,""carbs"":346},{""calories"":189,""protein"":335,""fat"":49,""fiber"":370,""carbs"":82},{""calories"":308,""protein"":391,""fat"":154,""fiber"":152,""carbs"":169},{""calories"":119,""protein"":80,""fat"":198,""fiber"":298,""carbs"":263}]"
37,51,et,"[{""calories"":167,""protein"":81,""fat"":20,""fiber"":51,""carbs"":358}]"
38,235,condimentum,"[{""calories"":324,""protein"":72,""fat"":238,""fiber"":399,""carbs"":389},{""calories"":48,""protein"":195,""fat"":348,""fiber"":151,""carbs"":166},{""calories"":372,""protein"":156,""fat"":57,""fiber"":311,""carbs"":178}]"
39,873,accumsan,"[{""calories"":303,""protein"":343,""fat"":170,""fiber"":233,""carbs"":134},{""calories"":38,""protein"":307,""fat"":296,""fiber"":143,""carbs"":2},{""calories"":6,""protein"":91,""fat"":214,""fiber"":172,""carbs"":120},{""calories"":46,""protein"":53,""fat"":33,""fiber"":46,""carbs"":200},{""calories"":143,""protein"":390,""fat"":102,""fiber"":12,""carbs"":347}]"
40,431,iaculis,"[{""calories"":358,""protein"":392,""fat"":179,""fiber"":383,""carbs"":327}]"
41,622,pede,"[{""calories"":15,""protein"":318,""fat"":125,""fiber"":258,""carbs"":354},{""calories"":285,""protein"":80,""fat"":24,""fiber"":288,""carbs"":201},{""calories"":384,""protein"":167,""fat"":346,""fiber"":107,""carbs"":345},{""calories"":281,""protein"":392,""fat"":381,""fiber"":392,""carbs"":37}]"
42,661,proin,"[{""calories"":286,""protein"":325,""fat"":350,""fiber"":212,""carbs"":219},{""calories"":10,""protein"":68,""fat"":4,""fiber"":356,""carbs"":283},{""calories"":30,""protein"":77,""fat"":221,""fiber"":140,""carbs"":107}]"
43,618,tellus,[]
44,990,amet,"[{""calories"":297,""protein"":10,""fat"":94,""fiber"":62,""carbs"":71}]"
45,620,donec,[]
46,150,nulla,[]
47,146,lorem,"[{""calories"":137,""protein"":267,""fat"":186,""fiber"":333,""carbs"":368},{""calories"":82,""protein"":346,""fat"":396,""fiber"":99,""carbs"":295}]"
48,444,molestie,"[{""calories"":253,""protein"":125,""fat"":365,""fiber"":56,""carbs"":61},{""calories"":82,""protein"":64,""fat"":296,""fiber"":330,""carbs"":326},{""calories"":161,""protein"":250,""fat"":178,""fiber"":17,""carbs"":248},{""calories"":119,""protein"":238,""fat"":65,""fiber"":263,""carbs"":55},{""calories"":99,""protein"":369,""fat"":287,""fiber"":237,""carbs"":268}]"
49,682,sed,"[{""calories"":156,""protein"":228,""fat"":69,""fiber"":63,""carbs"":104},{""calories"":199,""protein"":5,""fat"":107,""fiber"":24,""carbs"":299},{""calories"":178,""protein"":239,""fat"":239,""fiber"":315,""carbs"":27},{""calories"":92,""protein"":34,""fat"":374,""fiber"":319,""carbs"":104},{""calories"":366,""protein"":97,""fat"":108,""fiber"":383,""carbs"":360}]"
50,511,dui,[]
51,462,in,"[{""calories"":185,""protein"":195,""fat"":77,""fiber"":392,""carbs"":218},{""calories"":124,""protein"":188,""fat"":61,""fiber"":284,""carbs"":49},{""calories"":276,""protein"":30,""fat"":358,""fiber"":235,""carbs"":43}]"
52,471,felis,"[{""calories"":266,""protein"":383,""fat"":310,""fiber"":53,""carbs"":83},{""calories"":380,""protein"":383,""fat"":154,""fiber"":381,""carbs"":183},{""calories"":319,""protein"":244,""fat"":389,""fiber"":153,""carbs"":82}]"
53,264,phasellus,[]
54,327,odio,"[{""calories"":98,""protein"":178,""fat"":292,""fiber"":144,""carbs"":55},{""calories"":137,""protein"":5,""fat"":309,""fiber"":303,""carbs"":24}]"
55,660,ultrices,"[{""calories"":113,""protein"":310,""fat"":43,""fiber"":7,""carbs"":179}]"
56,336,morbi,"[{""calories"":176,""protein"":74,""fat"":38,""fiber"":311,""carbs"":32},{""calories"":373,""protein"":254,""fat"":343,""fiber"":165,""carbs"":45}]"
57,961,integer,"[{""calories"":346,""protein"":139,""fat"":210,""fiber"":49,""carbs"":95},{""calories"":137,""protein"":290,""fat"":76,""fiber"":25,""carbs"":63}]"
58,636,orci,"[{""calories"":63,""protein"":211,""fat"":264,""fiber"":243,""carbs"":172},{""calories"":236,""protein"":88,""fat"":285,""fiber"":257,""carbs"":399},{""calories"":296,""protein"":264,""fat"":35,""fiber"":339,""carbs"":147}]"
59,167,consequat,"[{""calories"":192,""protein"":129,""fat"":104,""fiber"":6,""carbs"":271},{""calories"":346,""protein"":383,""fat"":322,""fiber"":219,""carbs"":376},{""calories"":192,""protein"":388,""fat"":274,""fiber"":337,""carbs"":297},{""calories"":43,""protein"":355,""fat"":204,""fiber"":115,""carbs"":159},{""calories"":360,""protein"":205,""fat"":325,""fiber"":257,""carbs"":260}]"
60,254,dapibus,"[{""calories"":188,""protein"":93,""fat"":211,""fiber"":350,""carbs"":40}]"
61,202,phasellus,[]
62,500,proin,"[{""calories"":211,""protein"":330,""fat"":236,""fiber"":147,""carbs"":287},{""calories"":106,""protein"":15,""fat"":388,""fiber"":319,""carbs"":309}]"
63,218,dictumst,"[{""calories"":359,""protein"":58,""fat"":360,""fiber"":102,""carbs"":29},{""calories"":146,""protein"":202,""fat"":335,""fiber"":141,""carbs"":336},{""calories"":350,""protein"":283,""fat"":302,""fiber"":291,""carbs"":227},{""calories"":161,""protein"":132,""fat"":221,""fiber"":286,""carbs"":31}]"
64,11,lectus,"[{""calories"":186,""protein"":93,""fat"":351,""fiber"":138,""carbs"":281}]"
65,593,faucibus,"[{""calories"":246,""protein"":293,""fat"":182,""fiber"":66,""carbs"":6},{""calories"":89,""protein"":377,""fat"":261,""fiber"":139,""carbs"":322}]"
66,398,fusce,"[{""calories"":338,""protein"":380,""fat"":91,""fiber"":141,""carbs"":380},{""calories"":110,""protein"":168,""fat"":294,""fiber"":12,""carbs"":105},{""calories"":186,""protein"":391,""fat"":302,""fiber"":77,""carbs"":395},{""calories"":146,""protein"":88,""fat"":236,""fiber"":82,""carbs"":372}]"
67,907,amet,"[{""calories"":60,""protein"":66,""fat"":45,""fiber"":250,""carbs"":126},{""calories"":92,""protein"":35,""fat"":25,""fiber"":73,""carbs"":156},{""calories"":365,""protein"":347,""fat"":261,""fiber"":118,""carbs"":361},{""calories"":142,""protein"":387,""fat"":126,""fiber"":243,""carbs"":384},{""calories"":112,""protein"":354,""fat"":85,""fiber"":97,""carbs"":316}]"
68,604,velit,"[{""calories"":77,""protein"":122,""fat"":187,""fiber"":194,""carbs"":341},{""calories"":244,""protein"":45,""fat"":206,""fiber"":195,""carbs"":1}]"
69,250,aliquet,[]
70,179,platea,"[{""calories"":154,""protein"":148,""fat"":218,""fiber"":316,""carbs"":126},{""calories"":281,""protein"":81,""fat"":263,""fiber"":100,""carbs"":163},{""calories"":151,""protein"":82,""fat"":39,""fiber"":177,""carbs"":6}]"
71,465,vehicula,"[{""calories"":236,""protein"":233,""fat"":150,""fiber"":383,""carbs"":217},{""calories"":214,""protein"":79,""fat"":399,""fiber"":99,""carbs"":62}]"
72,424,erat,"[{""calories"":104,""protein"":114,""fat"":169,""fiber"":400,""carbs"":250},{""calories"":171,""protein"":121,""fat"":89,""fiber"":57,""carbs"":290},{""calories"":278,""protein"":121,""fat"":145,""fiber"":270,""carbs"":211},{""calories"":398,""protein"":229,""fat"":170,""fiber"":350,""carbs"":289}]"
73,192,nonummy,"[{""calories"":226,""protein"":97,""fat"":292,""fiber"":135,""carbs"":356}]"
74,646,nisi,"[{""calories"":166,""protein"":81,""fat"":383,""fiber"":23,""carbs"":101},{""calories"":156,""protein"":185,""fat"":273,""fiber"":229,""carbs"":242},{""calories"":255,""protein"":285,""fat"":246,""fiber"":109,""carbs"":337},{""calories"":364,""protein"":66,""fat"":273,""fiber"":144,""carbs"":224},{""calories"":63,""protein"":295,""fat"":247,""fiber"":126,""carbs"":16}]"
75,40,vestibulum,"[{""calories"":271,""protein"":278,""fat"":176,""fiber"":140,""carbs"":236},{""calories"":357,""protein"":390,""fat"":116,""fiber"":261,""carbs"":79}]"
76,115,pede,"[{""calories"":322,""protein"":88,""fat"":46,""fiber"":255,""carbs"":60},{""calories"":137,""protein"":334,""fat"":256,""fiber"":180,""carbs"":18}]"
77,563,auctor,"[{""calories"":31,""protein"":68,""fat"":390,""fiber"":254,""carbs"":75},{""calories"":194,""protein"":156,""fat"":227,""fiber"":242,""carbs"":212},{""calories"":170,""protein"":86,""fat"":89,""fiber"":364,""carbs"":14},{""calories"":4,""protein"":147,""fat"":2,""fiber"":79,""carbs"":335}]"
78,872,accumsan,[]
79,309,quis,"[{""calories"":138,""protein"":257,""fat"":7,""fiber"":319,""carbs"":166},{""calories"":37,""protein"":41,""fat"":396,""fiber"":160,""carbs"":92},{""calories"":179,""protein"":201,""fat"":283,""fiber"":13,""carbs"":353},{""calories"":231,""protein"":286,""fat"":105,""fiber"":115,""carbs"":350}]"
80,830,faucibus,"[{""calories"":339,""protein"":17,""fat"":132,""fiber"":268,""carbs"":71},{""calories"":198,""protein"":78,""fat"":266,""fiber"":307,""carbs"":157},{""calories"":162,""protein"":91,""fat"":18,""fiber"":37,""carbs"":178},{""calories"":108,""protein"":335,""fat"":70,""fiber"":104,""carbs"":363},{""calories"":353,""protein"":152,""fat"":296,""fiber"":232,""carbs"":44}]"
81,959,sit,"[{""calories"":393,""protein"":253,""fat"":326,""fiber"":66,""carbs"":159},{""calories"":265,""protein"":164,""fat"":140,""fiber"":333,""carbs"":222},{""calories"":348,""protein"":303,""fat"":112,""fiber"":274,""carbs"":310},{""calories"":296,""protein"":73,""fat"":112,""fiber"":285,""carbs"":15}]"
82,460,morbi,"[{""calories"":374,""protein"":262,""fat"":96,""fiber"":179,""carbs"":191},{""calories"":54,""protein"":336,""fat"":21,""fiber"":337,""carbs"":83},{""calories"":344,""protein"":240,""fat"":116,""fiber"":99,""carbs"":268}]"
83,975,dui,"[{""calories"":215,""protein"":159,""fat"":213,""fiber"":152,""carbs"":62}]"
84,876,nunc,"[{""calories"":75,""protein"":123,""fat"":105,""fiber"":378,""carbs"":304},{""calories"":36,""protein"":213,""fat"":337,""fiber"":172,""carbs"":89},{""calories"":9,""protein"":193,""fat"":29,""fiber"":297,""carbs"":26}]"
85,373,non,"[{""calories"":287,""protein"":334,""fat"":12,""fiber"":337,""carbs"":287}]"
86,693,velit,"[{""calories"":178,""protein"":115,""fat"":37,""fiber"":358,""carbs"":205},{""calories"":349,""protein"":92,""fat"":23,""fiber"":48,""carbs"":376},{""calories"":85,""protein"":21,""fat"":291,""fiber"":212,""carbs"":311},{""calories"":365,""protein"":96,""fat"":155,""fiber"":270,""carbs"":334},{""calories"":146,""protein"":290,""fat"":96,""fiber"":90,""carbs"":299}]"
87,29,porttitor,"[{""calories"":202,""protein"":169,""fat"":296,""fiber"":144,""carbs"":69}]"
88,801,purus,[]
89,676,rutrum,"[{""calories"":266,""protein"":321,""fat"":174,""fiber"":13,""carbs"":299},{""calories"":301,""protein"":149,""fat"":4,""fiber"":258,""carbs"":66},{""calories"":352,""protein"":248,""fat"":263,""fiber"":49,""carbs"":18}]"
90,608,sit,[]
91,74,mauris,"[{""calories"":325,""protein"":116,""fat"":152,""fiber"":231,""carbs"":208},{""calories"":171,""protein"":35,""fat"":142,""fiber"":67,""carbs"":387},{""calories"":251,""protein"":358,""fat"":202,""fiber"":222,""carbs"":6},{""calories"":146,""protein"":205,""fat"":121,""fiber"":63,""carbs"":355}]"
92,126,luctus,"[{""calories"":111,""protein"":39,""fat"":261,""fiber"":112,""carbs"":356}]"
93,356,dapibus,"[{""calories"":250,""protein"":348,""fat"":205,""fiber"":208,""carbs"":176},{""calories"":279,""protein"":234,""fat"":261,""fiber"":15,""carbs"":212}]"
94,510,ultrices,"[{""calories"":327,""protein"":102,""fat"":228,""fiber"":35,""carbs"":279},{""calories"":158,""protein"":80,""fat"":354,""fiber"":315,""carbs"":16},{""calories"":115,""protein"":310,""fat"":196,""fiber"":3,""carbs"":21},{""calories"":7,""protein"":330,""fat"":76,""fiber"":204,""carbs"":261},{""calories"":334,""protein"":70,""fat"":61,""fiber"":90,""carbs"":90}]"
95,805,nisl,[]
96,954,fusce,"[{""calories"":62,""protein"":177,""fat"":122,""fiber"":170,""carbs"":195}]"
97,829,sapien,"[{""calories"":185,""protein"":397,""fat"":371,""fiber"":164,""carbs"":132}]"
98,356,mus,"[{""calories"":86,""protein"":6,""fat"":358,""fiber"":195,""carbs"":346},{""calories"":174,""protein"":311,""fat"":261,""fiber"":262,""carbs"":6},{""calories"":323,""protein"":181,""fat"":386,""fiber"":13,""carbs"":72},{""calories"":75,""protein"":35,""fat"":3,""fiber"":267,""carbs"":84}]"
99,669,gravida,"[{""calories"":72,""protein"":11,""fat"":170,""fiber"":157,""carbs"":196},{""calories"":207,""protein"":81,""fat"":387,""fiber"":159,""carbs"":330}]"
100,886,massa,"[{""calories"":305,""protein"":21,""fat"":337,""fiber"":207,""carbs"":236},{""calories"":141,""protein"":187,""fat"":134,""fiber"":320,""carbs"":310},{""calories"":242,""protein"":40,""fat"":352,""fiber"":106,""carbs"":3},{""calories"":87,""protein"":40,""fat"":271,""fiber"":97,""carbs"":381}]"
101,182,leo,"[{""calories"":195,""protein"":225,""fat"":144,""fiber"":239,""carbs"":176},{""calories"":64,""protein"":169,""fat"":255,""fiber"":355,""carbs"":194},{""calories"":146,""protein"":56,""fat"":347,""fiber"":13,""carbs"":245},{""calories"":302,""protein"":349,""fat"":347,""fiber"":283,""carbs"":145}]"
102,299,sem,"[{""calories"":54,""protein"":361,""fat"":329,""fiber"":235,""carbs"":393},{""calories"":205,""protein"":281,""fat"":105,""fiber"":134,""carbs"":103},{""calories"":138,""protein"":215,""fat"":232,""fiber"":95,""carbs"":97},{""calories"":304,""protein"":24,""fat"":79,""fiber"":73,""carbs"":90}]"
103,529,sed,"[{""calories"":86,""protein"":373,""fat"":351,""fiber"":23,""carbs"":238},{""calories"":192,""protein"":50,""fat"":140,""fiber"":158,""carbs"":246},{""calories"":44,""protein"":366,""fat"":391,""fiber"":234,""carbs"":351}]"
104,844,lectus,"[{""calories"":217,""protein"":101,""fat"":154,""fiber"":88,""carbs"":231},{""calories"":90,""protein"":340,""fat"":57,""fiber"":55,""carbs"":55},{""calories"":368,""protein"":359,""fat"":173,""fiber"":255,""carbs"":114}]"
105,112,phasellus,[]
106,841,venenatis,"[{""calories"":99,""protein"":11,""fat"":56,""fiber"":290,""carbs"":302},{""calories"":174,""protein"":183,""fat"":99,""fiber"":227,""carbs"":172}]"
107,541,massa,"[{""calories"":309,""protein"":386,""fat"":276,""fiber"":161,""carbs"":87}]"
108,267,etiam,"[{""calories"":177,""protein"":50,""fat"":376,""fiber"":254,""carbs"":37},{""calories"":269,""protein"":304,""fat"":255,""fiber"":125,""carbs"":183},{""calories"":377,""protein"":195,""fat"":386,""fiber"":126,""carbs"":163},{""calories"":380,""protein"":160,""fat"":140,""fiber"":225,""carbs"":161}]"
109,403,ultrices,"[{""calories"":354,""protein"":108,""fat"":243,""fiber"":129,""carbs"":244},{""calories"":184,""protein"":283,""fat"":124,""fiber"":132,""carbs"":321}]"
110,545,ut,"[{""calories"":248,""protein"":215,""fat"":235,""fiber"":143,""carbs"":267},{""calories"":71,""protein"":241,""fat"":237,""fiber"":65,""carbs"":31}]"
111,935,congue,"[{""calories"":122,""protein"":142,""fat"":182,""fiber"":84,""carbs"":245},{""calories"":43,""protein"":28,""fat"":304,""fiber"":83,""carbs"":365},{""calories"":342,""protein"":397,""fat"":396,""fiber"":279,""carbs"":151}]"
112,189,nunc,"[{""calories"":244,""protein"":3,""fat"":165,""fiber"":25,""carbs"":318},{""calories"":112,""protein"":73,""fat"":385,""fiber"":112,""carbs"":107}]"
113,812,ridiculus,"[{""calories"":195,""protein"":195,""fat"":238,""fiber"":288,""carbs"":100},{""calories"":391,""protein"":196,""fat"":292,""fiber"":157,""carbs"":387},{""calories"":156,""protein"":305,""fat"":211,""fiber"":162,""carbs"":249},{""calories"":212,""protein"":335,""fat"":391,""fiber"":155,""carbs"":135}]"
114,556,a,"[{""calories"":79,""protein"":290,""fat"":199,""fiber"":244,""carbs"":276},{""calories"":283,""protein"":235,""fat"":375,""fiber"":396,""carbs"":24}]"
115,374,magnis,"[{""calories"":332,""protein"":40,""fat"":243,""fiber"":157,""carbs"":29},{""calories"":111,""protein"":365,""fat"":369,""fiber"":39,""carbs"":85},{""calories"":331,""protein"":289,""fat"":184,""fiber"":384,""carbs"":193},{""calories"":306,""protein"":231,""fat"":253,""fiber"":36,""carbs"":133}]"
116,288,vivamus,"[{""calories"":326,""protein"":292,""fat"":349,""fiber"":112,""carbs"":72},{""calories"":31,""protein"":275,""fat"":48,""fiber"":285,""carbs"":288},{""calories"":65,""protein"":369,""fat"":183,""fiber"":133,""carbs"":335}]"
117,513,ut,"[{""calories"":379,""protein"":108,""fat"":391,""fiber"":138,""carbs"":221},{""calories"":320,""protein"":35,""fat"":19,""fiber"":123,""carbs"":98},{""calories"":297,""protein"":251,""fat"":362,""fiber"":122,""carbs"":348},{""calories"":52,""protein"":200,""fat"":126,""fiber"":138,""carbs"":159}]"
118,678,pede,"[{""calories"":114,""protein"":55,""fat"":114,""fiber"":17,""carbs"":309}]"
119,845,donec,[]
120,353,tincidunt,"[{""calories"":396,""protein"":204,""fat"":142,""fiber"":170,""carbs"":68},{""calories"":250,""protein"":326,""fat"":390,""fiber"":281,""carbs"":368},{""calories"":204,""protein"":264,""fat"":343,""fiber"":156,""carbs"":72},{""calories"":19,""protein"":177,""fat"":162,""fiber"":66,""carbs"":324},{""calories"":379,""protein"":20,""fat"":248,""fiber"":301,""carbs"":352}]"
121,178,suspendisse,"[{""calories"":332,""protein"":355,""fat"":384,""fiber"":290,""carbs"":195},{""calories"":310,""protein"":55,""fat"":170,""fiber"":65,""carbs"":263}]"
122,12,sollicitudin,"[{""calories"":366,""protein"":391,""fat"":164,""fiber"":360,""carbs"":314},{""calories"":260,""protein"":320,""fat"":257,""fiber"":210,""carbs"":5}]"
123,931,mi,"[{""calories"":378,""protein"":176,""fat"":387,""fiber"":241,""carbs"":341},{""calories"":131,""protein"":108,""fat"":78,""fiber"":231,""carbs"":348}]"
124,575,platea,"[{""calories"":137,""protein"":14,""fat"":62,""fiber"":170,""carbs"":34},{""calories"":294,""protein"":302,""fat"":95,""fiber"":156,""carbs"":16},{""calories"":368,""protein"":40,""fat"":319,""fiber"":84,""carbs"":229}]"
125,792,enim,"[{""calories"":184,""protein"":326,""fat"":382,""fiber"":249,""carbs"":229},{""calories"":301,""protein"":174,""fat"":141,""fiber"":364,""carbs"":323},{""calories"":359,""protein"":242,""fat"":337,""fiber"":148,""carbs"":23},{""calories"":102,""protein"":256,""fat"":279,""fiber"":15,""carbs"":226}]"
126,29,dictumst,"[{""calories"":259,""protein"":30,""fat"":214,""fiber"":67,""carbs"":305},{""calories"":269,""protein"":285,""fat"":209,""fiber"":198,""carbs"":198}]"
127,30,nulla,[]
128,851,donec,"[{""calories"":330,""protein"":245,""fat"":181,""fiber"":247,""carbs"":318},{""calories"":225,""protein"":214,""fat"":205,""fiber"":390,""carbs"":74}]"
129,701,mattis,"[{""calories"":148,""protein"":389,""fat"":119,""fiber"":366,""carbs"":235},{""calories"":210,""protein"":288,""fat"":288,""fiber"":392,""carbs"":308},{""calories"":122,""protein"":242,""fat"":160,""fiber"":340,""carbs"":283},{""calories"":302,""protein"":284,""fat"":117,""fiber"":128,""carbs"":280}]"
130,794,at,[]
131,37,ultrices,"[{""calories"":242,""protein"":197,""fat"":359,""fiber"":260,""carbs"":265},{""calories"":154,""protein"":268,""fat"":286,""fiber"":175,""carbs"":24},{""calories"":213,""protein"":324,""fat"":111,""fiber"":144,""carbs"":200},{""calories"":7,""protein"":256,""fat"":228,""fiber"":343,""carbs"":355},{""calories"":278,""protein"":117,""fat"":120,""fiber"":274,""carbs"":264}]"
132,638,sem,"[{""calories"":317,""protein"":303,""fat"":168,""fiber"":38,""carbs"":219},{""calories"":256,""protein"":185,""fat"":123,""fiber"":135,""carbs"":78},{""calories"":359,""protein"":82,""fat"":180,""fiber"":25,""carbs"":23}]"
133,539,eu,"[{""calories"":346,""protein"":229,""fat"":224,""fiber"":181,""carbs"":280},{""calories"":153,""protein"":190,""fat"":198,""fiber"":31,""carbs"":166},{""calories"":238,""protein"":120,""fat"":318,""fiber"":2,""carbs"":219}]"
